"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"93901",1,2019,"Gas- Commercial","Y",1190,819787,689
"93901",3,2019,"Gas- Commercial","N",1075,291439,271
"93905",2,2019,"Gas- Commercial","Y",401,178663,446
"93906",1,2019,"Gas- Commercial","N",393,192290,489
"93906",3,2019,"Gas- Commercial","N",394,174572,443
"93907",2,2019,"Gas- Commercial","Y",356,158502,445
"93908",1,2019,"Gas- Commercial","Y",0,0,NA
"93908",3,2019,"Gas- Commercial","Y",135,379672,2812
"93921",2,2019,"Gas- Commercial","N",164,57607,351
"93923",1,2019,"Gas- Commercial","Y",0,0,NA
"93923",3,2019,"Gas- Commercial","Y",0,0,NA
"93924",2,2019,"Gas- Commercial","Y",0,0,NA
"93925",1,2019,"Gas- Commercial","Y",0,0,NA
"93925",3,2019,"Gas- Commercial","Y",0,0,NA
"93926",2,2019,"Gas- Commercial","Y",0,0,NA
"93927",1,2019,"Gas- Commercial","Y",0,0,NA
"93927",3,2019,"Gas- Commercial","Y",0,0,NA
"93930",2,2019,"Gas- Commercial","Y",590,230866,391
"93933",1,2019,"Gas- Commercial","N",308,90885,295
"93933",3,2019,"Gas- Commercial","N",306,83140,272
"93940",2,2019,"Gas- Commercial","Y",1395,906300,650
"93944",1,2019,"Gas- Commercial","Y",0,0,NA
"93944",3,2019,"Gas- Commercial","Y",0,0,NA
"93950",2,2019,"Gas- Commercial","Y",0,0,NA
"93953",1,2019,"Gas- Commercial","Y",0,0,NA
"93953",3,2019,"Gas- Commercial","Y",0,0,NA
"93955",2,2019,"Gas- Commercial","N",466,163770,351
"93960",1,2019,"Gas- Commercial","Y",0,0,NA
"93960",3,2019,"Gas- Commercial","Y",373,125402,336
"94002",2,2019,"Gas- Commercial","N",457,152704,334
"94005",1,2019,"Gas- Commercial","Y",0,0,NA
"94005",3,2019,"Gas- Commercial","N",142,109762,773
"94010",2,2019,"Gas- Commercial","N",819,527538,644
"94014",1,2019,"Gas- Commercial","Y",0,0,NA
"94014",3,2019,"Gas- Commercial","N",402,157422,392
"94015",2,2019,"Gas- Commercial","N",279,236878,849
"94018",2,2019,"Gas- Commercial","N",55,10947,199
"94019",1,2019,"Gas- Commercial","N",234,79758,341
"94019",3,2019,"Gas- Commercial","N",231,82176,356
"94022",2,2019,"Gas- Commercial","Y",393,176742,450
"94024",1,2019,"Gas- Commercial","Y",0,0,NA
"94024",3,2019,"Gas- Commercial","Y",0,0,NA
"94025",2,2019,"Gas- Commercial","Y",680,690335,1015
"94027",1,2019,"Gas- Commercial","Y",0,0,NA
"94027",3,2019,"Gas- Commercial","Y",0,0,NA
"94028",2,2019,"Gas- Commercial","Y",0,0,NA
"94030",1,2019,"Gas- Commercial","Y",0,0,NA
"94030",3,2019,"Gas- Commercial","Y",0,0,NA
