"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"93446",3,2019,"Elec- Commercial","Y",2466,12713121,5155
"93449",2,2019,"Elec- Commercial","N",486,2699648,5555
"93450",1,2019,"Elec- Commercial","Y",0,0,NA
"93450",3,2019,"Elec- Commercial","Y",0,0,NA
"93451",2,2019,"Elec- Commercial","Y",0,0,NA
"93452",1,2019,"Elec- Commercial","Y",0,0,NA
"93452",3,2019,"Elec- Commercial","Y",0,0,NA
"93453",2,2019,"Elec- Commercial","Y",280,3651005,13039
"93454",1,2019,"Elec- Commercial","N",1434,11161906,7784
"93454",3,2019,"Elec- Commercial","N",1431,10695546,7474
"93455",2,2019,"Elec- Commercial","Y",1406,7270977,5171
"93458",1,2019,"Elec- Commercial","Y",866,3806639,4396
"93458",3,2019,"Elec- Commercial","Y",862,4104745,4762
"93460",2,2019,"Elec- Commercial","Y",0,0,NA
"93461",1,2019,"Elec- Commercial","Y",0,0,NA
"93461",3,2019,"Elec- Commercial","Y",0,0,NA
"93463",2,2019,"Elec- Commercial","Y",1615,9064194,5613
"93465",1,2019,"Elec- Commercial","Y",0,0,NA
"93465",3,2019,"Elec- Commercial","Y",0,0,NA
"93560",2,2019,"Elec- Commercial","Y",0,0,NA
"93561",1,2019,"Elec- Commercial","Y",0,0,NA
"93561",3,2019,"Elec- Commercial","Y",0,0,NA
"93601",2,2019,"Elec- Commercial","Y",0,0,NA
"93602",1,2019,"Elec- Commercial","Y",199,727445,3656
"93602",3,2019,"Elec- Commercial","Y",0,0,NA
"93603",2,2019,"Elec- Commercial","Y",0,0,NA
"93604",1,2019,"Elec- Commercial","Y",0,0,NA
"93604",3,2019,"Elec- Commercial","Y",0,0,NA
"93608",2,2019,"Elec- Commercial","Y",0,0,NA
"93609",1,2019,"Elec- Commercial","Y",0,0,NA
"93609",3,2019,"Elec- Commercial","Y",0,0,NA
"93610",2,2019,"Elec- Commercial","Y",0,0,NA
"93611",1,2019,"Elec- Commercial","Y",1056,7742787,7332
"93611",3,2019,"Elec- Commercial","Y",1053,6796326,6454
"93612",2,2019,"Elec- Commercial","N",1443,8060089,5586
"93614",1,2019,"Elec- Commercial","Y",0,0,NA
"93614",3,2019,"Elec- Commercial","Y",0,0,NA
"93615",2,2019,"Elec- Commercial","Y",0,0,NA
"93616",1,2019,"Elec- Commercial","Y",0,0,NA
"93616",3,2019,"Elec- Commercial","Y",0,0,NA
"93618",2,2019,"Elec- Commercial","Y",675,3492828,5175
"93619",1,2019,"Elec- Commercial","Y",0,0,NA
"93619",3,2019,"Elec- Commercial","Y",0,0,NA
"93620",2,2019,"Elec- Commercial","Y",0,0,NA
"93621",1,2019,"Elec- Commercial","Y",0,0,NA
"93621",3,2019,"Elec- Commercial","Y",0,0,NA
"93622",2,2019,"Elec- Commercial","Y",772,1436290,1860
"93623",1,2019,"Elec- Commercial","Y",0,0,NA
"93623",3,2019,"Elec- Commercial","Y",0,0,NA
"93625",2,2019,"Elec- Commercial","N",236,1338367,5671
"93626",1,2019,"Elec- Commercial","Y",0,0,NA
"93626",3,2019,"Elec- Commercial","Y",0,0,NA
"93627",2,2019,"Elec- Commercial","Y",0,0,NA
"93628",1,2019,"Elec- Commercial","Y",0,0,NA
"93628",3,2019,"Elec- Commercial","Y",0,0,NA
"93630",2,2019,"Elec- Commercial","Y",0,0,NA
"93631",1,2019,"Elec- Commercial","N",424,2653421,6258
"93631",3,2019,"Elec- Commercial","Y",0,0,NA
"93633",2,2019,"Elec- Commercial","Y",0,0,NA
"93635",1,2019,"Elec- Commercial","N",854,5662388,6630
"93635",3,2019,"Elec- Commercial","N",852,4713693,5533
"93636",2,2019,"Elec- Commercial","Y",0,0,NA
"93637",1,2019,"Elec- Commercial","Y",2544,15947310,6269
"93637",3,2019,"Elec- Commercial","Y",2548,11840645,4647
"93638",2,2019,"Elec- Commercial","Y",0,0,NA
"93640",1,2019,"Elec- Commercial","N",237,958353,4044
"93640",3,2019,"Elec- Commercial","N",234,824663,3524
"93641",2,2019,"Elec- Commercial","Y",0,0,NA
"93643",1,2019,"Elec- Commercial","Y",0,0,NA
"93643",3,2019,"Elec- Commercial","Y",0,0,NA
"93644",2,2019,"Elec- Commercial","Y",1196,5085440,4252
"93645",1,2019,"Elec- Commercial","Y",0,0,NA
"93645",3,2019,"Elec- Commercial","Y",0,0,NA
"93646",2,2019,"Elec- Commercial","Y",0,0,NA
"93647",1,2019,"Elec- Commercial","Y",420,1537745,3661
"93647",3,2019,"Elec- Commercial","Y",0,0,NA
"93648",2,2019,"Elec- Commercial","Y",222,1665441,7502
"93650",1,2019,"Elec- Commercial","N",187,715285,3825
"93650",3,2019,"Elec- Commercial","N",186,668488,3594
"93651",2,2019,"Elec- Commercial","Y",0,0,NA
"93652",1,2019,"Elec- Commercial","Y",0,0,NA
"93652",3,2019,"Elec- Commercial","Y",0,0,NA
"93653",2,2019,"Elec- Commercial","Y",0,0,NA
"93654",1,2019,"Elec- Commercial","N",649,3266766,5034
"93654",3,2019,"Elec- Commercial","Y",814,3792779,4659
"93656",2,2019,"Elec- Commercial","Y",0,0,NA
"93657",1,2019,"Elec- Commercial","Y",864,4921166,5696
"93657",3,2019,"Elec- Commercial","Y",923,4365504,4730
"93660",2,2019,"Elec- Commercial","Y",0,0,NA
"93662",1,2019,"Elec- Commercial","Y",708,4103858,5796
"93662",3,2019,"Elec- Commercial","Y",709,3546512,5002
"93664",2,2019,"Elec- Commercial","Y",0,0,NA
"93667",1,2019,"Elec- Commercial","Y",0,0,NA
"93667",3,2019,"Elec- Commercial","Y",0,0,NA
"93668",2,2019,"Elec- Commercial","Y",0,0,NA
"93669",1,2019,"Elec- Commercial","Y",0,0,NA
"93669",3,2019,"Elec- Commercial","Y",0,0,NA
"93675",2,2019,"Elec- Commercial","Y",0,0,NA
"93701",1,2019,"Elec- Commercial","Y",0,0,NA
"93701",3,2019,"Elec- Commercial","Y",0,0,NA
"93702",2,2019,"Elec- Commercial","Y",0,0,NA
"93703",1,2019,"Elec- Commercial","N",815,3742001,4591
"93703",3,2019,"Elec- Commercial","N",819,3561413,4348
"93704",2,2019,"Elec- Commercial","Y",924,4454972,4821
"93705",1,2019,"Elec- Commercial","Y",0,0,NA
"93705",3,2019,"Elec- Commercial","Y",0,0,NA
"93706",2,2019,"Elec- Commercial","Y",1712,11445888,6686
"93710",1,2019,"Elec- Commercial","Y",1242,9356547,7533
"93710",3,2019,"Elec- Commercial","Y",1235,9073263,7347
"93711",2,2019,"Elec- Commercial","N",1543,7595859,4923
"93720",1,2019,"Elec- Commercial","Y",1412,13204965,9352
"93720",3,2019,"Elec- Commercial","Y",1416,12289596,8679
"93721",2,2019,"Elec- Commercial","Y",1874,12029232,6419
"93722",1,2019,"Elec- Commercial","N",1506,9075544,6026
"93722",3,2019,"Elec- Commercial","N",1509,8506901,5637
"93723",2,2019,"Elec- Commercial","Y",0,0,NA
"93725",1,2019,"Elec- Commercial","N",843,11045639,13103
"93725",3,2019,"Elec- Commercial","N",842,10060067,11948
"93726",2,2019,"Elec- Commercial","N",893,5218234,5843
"93727",1,2019,"Elec- Commercial","Y",1593,11513537,7228
"93727",3,2019,"Elec- Commercial","Y",1589,10699170,6733
"93728",2,2019,"Elec- Commercial","N",580,2014129,3473
"93730",1,2019,"Elec- Commercial","Y",0,0,NA
"93730",3,2019,"Elec- Commercial","Y",0,0,NA
"93737",2,2019,"Elec- Commercial","Y",0,0,NA
