,COUNTY,MONTH,CUSTOMERCLASS,2019,2019 COSTS,2020,2020 COSTS,DIFF_COSTS,DIFF_KWH
17,Contra Costa,3,Elec- Industrial,0,0.103,0,0.107,0,0
26,Marin,3,Elec- Industrial,0,0.103,0,0.107,0,0
35,Napa,3,Elec- Industrial,0,0.103,0,0.107,0,0
44,San Francisco,3,Elec- Industrial,0,0.103,281356917,0.107,30105190.12,281356917
53,San Mateo,3,Elec- Industrial,0,0.103,46989389,0.107,5027864.623,46989389
62,Santa Clara,3,Elec- Industrial,835641937,0.103,311013549,0.107,-52792669.77,-524628388
71,Solano,3,Elec- Industrial,0,0.103,0,0.107,0,0
80,Sonoma,3,Elec- Industrial,0,0.103,0,0.107,0,0
9,Alameda,3,Elec- Residential,221734217,0.177,232405707,0.193,5607345.042,10671490
18,Contra Costa,3,Elec- Residential,184627477,0.177,189584789,0.193,3910800.848,4957312
27,Marin,3,Elec- Residential,49913496,0.177,50605202,0.193,932115.194,691706
36,Napa,3,Elec- Residential,25945997,0.177,26459930,0.193,514325.021,513933
45,San Francisco,3,Elec- Residential,112773647,0.177,119701350,0.193,3141425.031,6927703
54,San Mateo,3,Elec- Residential,120838133,0.177,125526522,0.193,2838269.205,4688389
63,Santa Clara,3,Elec- Residential,252762218,0.177,266378432,0.193,6672124.79,13616214
72,Solano,3,Elec- Residential,67302334,0.177,67663395,0.193,1146522.117,361061
81,Sonoma,3,Elec- Residential,90044528,0.177,91925552,0.193,1803750.08,1881024
