"","MONTH","CUSTOMERCLASS","SUMKWH","SUMCUST"
"1",1,"Elec- Commercial",1518476226,171357
"2",1,"Elec- Industrial",863168284,675
"3",1,"Elec- Residential",1308045069,2553561
"4",2,"Elec- Commercial",1382563847,172193
"5",2,"Elec- Industrial",688209752,605
"6",2,"Elec- Residential",1049997403,2555763
"7",3,"Elec- Commercial",1320612493,171092
"8",3,"Elec- Industrial",639359855,529
"9",3,"Elec- Residential",1170250879,2555308
